trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
456,False,"{'a': 0.5, 'e': 0.23238842122852268}",25,17,15.4756654945201,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.5, 'e': 0.6702403616464259}",25,3,-11.913467535807001,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
458,False,"{'a': 0.5, 'e': 0.9439940860834779}",25,0,-95.62971562941857,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
459,False,"{'a': 0.5, 'e': 0.9866251353025733}",30,0,-122.35428284592933,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",0
460,False,"{'a': 0.5, 'e': 0.787695941645058}",20,0,-39.83887484292455,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
461,False,"{'a': 0.5, 'e': 0.3959113096164656}",20,0,18.85382176077436,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
462,False,"{'a': 0.5, 'e': 0.09280621889587708}",20,3,27.283404373243695,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.5, 'e': 0.5588015482924706}",25,16,-33.67683820674151,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
464,False,"{'a': 0.5, 'e': 0.8879827697817494}",20,0,-71.51350839669243,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
465,False,"{'a': 0.5, 'e': 0.9997548397466827}",30,0,-215.35138342353926,"{0: 14, 1: 1, 2: 12, 3: 1, 4: 2}",0
466,False,"{'a': 0.5, 'e': 0.8667520572726362}",20,0,-54.51144427363689,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
467,False,"{'a': 0.5, 'e': 0.5215381421434596}",20,16,7.042345590067659,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.5, 'e': 0.048633500538969116}",20,9,19.587239772496943,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.5, 'e': 0.43617831815008895}",20,0,-41.224843407658426,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
470,False,"{'a': 0.5, 'e': 0.8141984723053474}",25,0,-144.15907024223478,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
471,False,"{'a': 0.5, 'e': 0.9928744442758198}",30,0,-210.55456372788808,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
472,False,"{'a': 0.5, 'e': 0.9284601245807608}",20,0,-57.62417951471055,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
473,False,"{'a': 0.5, 'e': 0.6367263852094576}",25,0,-53.36475197632414,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
474,False,"{'a': 0.5, 'e': 0.18909982012986337}",20,16,7.098510618019154,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.5, 'e': 0.30482497600430924}",30,11,30.852274153102346,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
476,False,"{'a': 0.5, 'e': 0.7241179868699296}",30,8,-196.9311375069468,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 3}",1
477,False,"{'a': 0.5, 'e': 0.9661216600521149}",30,0,-153.15894027992073,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
478,False,"{'a': 0.5, 'e': 0.9715850561826999}",20,0,-133.7801042374416,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
479,False,"{'a': 0.5, 'e': 0.7391705453463161}",25,0,-207.08392168507808,"{0: 14, 1: 0, 2: 6, 3: 2, 4: 3}",0
